RegionID,SizeRank,RegionName,RegionType,StateName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30
394537,282,"Dothan, AL",Msa,AL,68.0,58.0,52.0,58.0,68.0,59.0,64.0,67.0,71.0,74.0,74.0,78.0,63.0,49.0,46.0,49.0,56.0,48.0,41.0,39.0,48.0,56.0,60.0,52.0,43.0,35.0,34.0,32.0,28.0,22.0,22.0,21.0,18.0,22.0,22.0,21.0,14.0,11.0,9.0,8.0,7.0,9.0,10.0,11.0,14.0,14.0,14.0,11.0,9.0,7.0,7.0,7.0
395066,283,"Santa Fe, NM",Msa,NM,58.0,48.0,29.0,25.0,18.0,19.0,24.0,31.0,36.0,46.0,53.0,50.0,36.0,21.0,16.0,16.0,20.0,26.0,29.0,30.0,33.0,37.0,43.0,36.0,25.0,15.0,15.0,16.0,15.0,13.0,13.0,12.0,13.0,14.0,15.0,13.0,11.0,7.0,6.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,7.0,5.0,6.0,6.0
394727,284,"Johnstown, PA",Msa,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,54.0,41.0,38.0,18.0,19.0,9.0,11.0,14.0,15.0,20.0,26.0,30.0,24.0,17.0,9.0,9.0,7.0
395163,285,"Traverse City, MI",Msa,MI,98.0,82.0,55.0,41.0,40.0,45.0,50.0,59.0,61.0,70.0,89.0,108.0,112.0,90.0,67.0,50.0,42.0,47.0,52.0,61.0,68.0,75.0,80.0,83.0,78.0,65.0,47.0,39.0,40.0,42.0,47.0,44.0,43.0,40.0,41.0,31.0,21.0,8.0,7.0,7.0,8.0,10.0,12.0,13.0,13.0,18.0,18.0,19.0,12.0,10.0,7.0,7.0
394671,286,"Hattiesburg, MS",Msa,MS,61.0,53.0,39.0,35.0,28.0,34.0,44.0,45.0,49.0,43.0,55.0,51.0,46.0,34.0,26.0,29.0,32.0,32.0,33.0,33.0,42.0,51.0,53.0,50.0,36.0,31.0,32.0,30.0,25.0,16.0,16.0,16.0,17.0,20.0,23.0,19.0,15.0,10.0,8.0,6.0,5.0,7.0,9.0,11.0,11.0,11.0,10.0,8.0,6.0,5.0,5.0,6.0
394515,287,"Dalton, GA",Msa,GA,43.0,32.0,32.0,27.0,25.0,20.0,22.0,30.0,39.0,51.0,57.0,53.0,45.0,33.0,34.0,31.0,34.0,39.0,38.0,39.0,41.0,52.0,59.0,54.0,43.0,35.0,32.0,29.0,25.0,21.0,16.0,13.0,11.0,12.0,20.0,19.0,21.0,12.0,10.0,8.0,9.0,9.0,10.0,11.0,13.0,13.0,18.0,18.0,16.0,12.0,11.0,12.0
394860,288,"Midland, TX",Msa,TX,31.0,20.0,16.0,15.0,13.0,17.0,22.0,27.0,34.0,36.0,38.0,33.0,29.0,23.0,21.0,21.0,24.0,27.0,34.0,37.0,39.0,40.0,42.0,46.0,44.0,39.0,36.0,37.0,40.0,40.0,43.0,46.0,52.0,57.0,63.0,56.0,49.0,34.0,29.0,23.0,24.0,27.0,33.0,39.0,39.0,42.0,45.0,43.0,34.0,22.0,18.0,18.0
394685,289,"Homosassa Springs, FL",Msa,FL,39.0,34.0,33.0,35.0,34.0,32.0,31.0,31.0,31.0,35.0,40.0,41.0,40.0,41.0,41.0,41.0,39.0,38.0,36.0,34.0,33.0,36.0,40.0,42.0,37.0,34.0,32.0,31.0,25.0,19.0,13.0,10.0,11.0,15.0,18.0,17.0,12.0,8.0,6.0,6.0,6.0,7.0,8.0,9.0,10.0,11.0,13.0,11.0,8.0,6.0,6.0,7.0
394351,290,"Auburn, AL",Msa,AL,,,,,,,,,,,,,,,,,,,,,,,,43.0,41.0,45.0,31.0,29.0,20.0,18.0,21.0,21.0,19.0,19.0,19.0,19.0,12.0,13.0,12.0,12.0,7.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,7.0,6.0,6.0,7.0
395182,291,"Valdosta, GA",Msa,GA,,,,,48.0,49.0,60.0,50.0,50.0,57.0,59.0,55.0,44.0,36.0,35.0,32.0,30.0,31.0,37.0,46.0,49.0,56.0,52.0,49.0,36.0,29.0,25.0,23.0,20.0,17.0,17.0,16.0,17.0,14.0,13.0,10.0,7.0,5.0,4.0,5.0,5.0,7.0,7.0,7.0,7.0,9.0,10.0,10.0,7.0,5.0,5.0,5.0
394480,292,"Coeur d'Alene, ID",Msa,ID,31.0,24.0,21.0,19.0,22.0,26.0,30.0,31.0,27.0,28.0,38.0,39.0,37.0,30.0,34.0,35.0,33.0,29.0,26.0,26.0,29.0,34.0,36.0,30.0,20.0,12.0,14.0,18.0,20.0,19.0,17.0,17.0,22.0,18.0,13.0,5.0,8.0,8.0,9.0,6.0,7.0,8.0,10.0,13.0,15.0,17.0,14.0,11.0,5.0,5.0,5.0,9.0
395117,293,"Springfield, OH",Msa,OH,38.0,30.0,19.0,16.0,18.0,21.0,21.0,21.0,25.0,29.0,42.0,40.0,33.0,16.0,11.0,10.0,10.0,10.0,12.0,15.0,17.0,22.0,30.0,30.0,25.0,17.0,13.0,9.0,5.0,5.0,6.0,6.0,7.0,7.0,9.0,7.0,6.0,3.0,3.0,4.0,4.0,5.0,7.0,8.0,8.0,11.0,12.0,11.0,7.0,4.0,4.0,4.0
